,name,Year,genre,artist
109,Animal,2023,ActionCrimeDrama ,Ranbir KapoorTriptii DimriAnil KapoorRashmika Mandanna 
110,Sam Bahadur,2023,Action ,Sanya MalhotraVicky KaushalFatima Sana ShaikhNeeraj Kabi 
111,Kanubhai the Great,2023,DramaRomance ,Bhairavi AthavleDarsh BhanushaliAayushi DholakiaDharmesh Joshi 
112,Untitled Shahid Kapoor/Kriti Sanon Film,2023,ComedyDrama ,Kriti SanonDharmendraShahid KapoorDimple Kapadia 
113,The Crypto,2023,ActionHistoryMystery ,Joshua CarterBilly BribgesTre KilgoreJaxon Carter 
114,Operation Valentine,2023,DramaThriller ,Manushi ChhillarVarun Tej 
115,Denny Jigar,2023,ActionDramaFantasy ,Yash SoniTarjanee BhadlaJitendra ThakkarChetan Daiya 
116,Merry Christmas,2023,Drama ,Vijay SethupathiKatrina KaifRadhika ApteTinnu Anand 
117,Yodha,2023,ActionAdventureFantasy ,Disha PataniRaashi KhannaSidharth MalhotraMohd Talib 
118,Captain Miller,2023,ActionThriller ,DhanushShivarajkumarJohn KokkenMark Bennington 
119,Kya Masti Kya Dhoom,2023,ActionDramaFamily ,Abhishek BajajMusskan SethiAnant VidhaatEshanya Maheshwari 
120,Barroz,2023,ActionComedyDrama ,MohanlalKallirroi TziafetaGuru SomasundaramPadmavati Rao 
121,Hi Nanna,2023,ActionAdventureThriller ,Mrunal ThakurShruti HaasanNaniAngad Bedi 
122,Yezhu Kadal Yezhu Malai,2023,Comedy ,Nivin PaulyAnjaliSoori 
123,Dunki,2023,ActionDramaThriller ,Shah Rukh KhanTaapsee PannuBoman IraniVicky Kaushal 
124,Yuva,2023,ActionDrama ,Sapthami GowdaAchyuth KumarYuva RajkumarPrashanth Natana 
125,Saindhav,2023,ComedyCrimeDrama ,Nawazuddin SiddiquiVenkatesh DaggubatiAryaAndrea Jeremiah 
126,Extra,2023,ComedyRomance ,SreeleelaNithiinPriyanka KD 
127,Kabuliwala,2023,HorrorThriller ,Mithun Chakraborty 
128,Translations,2023,Action ,Cari BarleyTallulah EdwardsAlan EmrysKate Morgan-Jones 
129,Laapataa Ladies,2023,ActionAdventureDrama ,Atishay Jain AkhilShivam GhawariyaNitanshi GoelDaood Hussain 
130,The Lost Ship,2024,Drama ,Lee ArenbergSandy JohnsonArtie LangeJohn Fiore 
131,The Diplomat,2024,ComedyDrama ,Kumud MishraSharib HashmiAmitoj MannJohn Abraham 
132,Project K,2024,DramaRomance ,Deepika PadukoneDulquer SalmaanAmitabh BachchanPrabhas 
133,Herseye Ragmen,2023,DramaRomance ,Robert MaaserAslihan MalboraErkan PetekkayaNihan Büyükagaç 
134,Hanu Man,2024,Drama ,Teja SajjaAmritha AiyerVaralaxmi SarathkumarVinay Rai 
135,Eagle,2024,ActionDramaThriller ,Ravi TejaKavya ThaparMadhooAnupama Parameswaran 
136,Guntur Kaaram,2024,CrimeDrama ,Ramya KrishnanSunilMahesh BabuPrakash Raj 
137,Ustaad Bhagat Singh,2024,ActionComedyThriller ,Pawan KalyanPankaj TripathiAshutosh RanaGautami 
138,Fighter,2024,ActionAdventureDrama ,Hrithik RoshanDeepika PadukoneAnil KapoorAkarsh Alagh 
139,Section 108,2024,ActionSci-Fi ,Nawazuddin SiddiquiRegina CassandraSaharsh Kumar ShuklaSaanand Verma 
140,Sarh Na Rees Kar,2024,ActionDrama ,Nirmal RishiMalkeet RauniBalvir BoparaiRubi Anam 
141,Warning 2,2024,BiographyDramaSport ,Gippy GrewalRaj Singh JhinjarRaghveer BoliPrince Kanwaljit Singh 
