,name,Year,genre,artist
145,Double Ismart,2024,Drama ,Sanjay DuttRam Pothineni 
146,Dune: Part Two,2024,CrimeDrama ,Florence PughRebecca FergusonTimothée ChalametZendaya 
147,Mr. & Mrs. Mahi,2024,null,Rajkummar RaoJanhvi KapoorAbhishek BanerjeeKumud Mishra 
148,Pushpa the Rule,2023,null,Allu ArjunFahadh FaasilRashmika MandannaSunil 
149,The Crew,2024,null,Rajkummar RaoKareena KapoorKriti SanonTabu 
150,Metro... In Dhino,2024,null,Ali FazalPankaj TripathiSara Ali KhanAnupam Kher 
151,Rabb Da Radio 3,2024,null,Simi ChahalTarsem Jassar 
152,Nadada,2024,null,Shriya SaranJayasudhaJagapathi BabuShanvi Srivastava 
153,Devara,2024,null,N.T. Rama Rao Jr.Saif Ali KhanJanhvi KapoorPrakash Raj 
154,Bastar,2024,null,Akshay KumarJanhvi KapoorTiger ShroffAlaya F 
155,Bade Miyan Chote Miyan,2024,null,Sanjay DuttGippy GrewalHarpreet KalerRavi Dehru 
156,Sheran Di Kaum Punjabi,2024,null,Joseph VijayPrabhu DevaJai 
157,Thalapathy 68,2024,null,Anushka SharmaWamiqa GabbiVarun DhawanKeerthy Suresh 
158,VD18,2024,null,Katrina KaifKartik AaryanShraddha KapoorBhuvan Arora 
159,Chandu Champion,2024,null,Gippy GrewalGurpreet GhuggiKaramjit AnmolRaghveer Boli 
