,name,rating,salary,reviews
618,Aircel,4.4,2.3k,996
619,Suguna Foods,4.0,3.8k,3.1k
620,Haldiram Foods,4.0,5.2k,980
621,Oracle Financial Services Software,3.8,12.3k,5.2k
622,Bajaj Capital,3.9,3.8k,69
623,Akzo Nobel India,4.1,4.1k,8
624,Collabera Technologies,3.5,7.9k,312
625,HTC Global Services,3.7,9.5k,--
626,Daimler India Commercial Vehicles,4.1,6.4k,972
627,Fusion BPO Services,3.1,3.4k,12.3k
628,Cushman & Wakefield,4.3,5k,77
629,CGI Information Systems And Management Consultants,4.2,8.2k,--
630,Krishna Maruti,4.1,4.8k,424
631,Standard Chartered Global Business Services,4.0,10.2k,--
632,Edelweiss,3.8,8.3k,970
633,Bharat Forge,3.8,5.4k,3.8k
634,Gland Pharma,3.8,5.3k,45
635,Hero Motors Company,4.0,5.2k,37
636,GE Vernova,4.2,3.5k,318
637,Iksula,4.0,4.1k,3
638,TTEC India,3.9,3.7k,964
639,Unisys,3.9,10k,4.1k
