,name,rating,salary,reviews
141,Bajaj Auto,3.9,12.6k,9.2k
142,Swiggy,4.0,18.5k,90
143,Equitas Small Finance Bank,4.1,10.9k,13
144,Viatris,4.3,14.4k,1k
145,Samvardhana Motherson Group,3.8,14.1k,7
146,Nagarjuna Construction Company,4.1,10.5k,2.8k
147,KEC International,4.1,10.4k,12.6k
148,SBI Life Insurance Company,3.8,10.2k,158
149,L&T Technology Services,3.4,27.6k,3
150,Ekart Logistics,4.1,7.3k,1.3k
151,Aditya Birla Fashion and Retail,4.2,12k,17
152,Muthoot Fincorp,4.0,7.9k,2.8k
153,Optum,4.1,20.3k,18.5k
154,Godrej & Boyce Manufacturing,3.9,17k,200
155,Royal Enfield,4.2,14.3k,326
156,Tata Communications,4.2,21.5k,1.1k
157,LG Electronics,4.0,10.6k,9
158,Piramal Capital Housing Finance,4.3,9k,2.8k
159,John Deere,4.3,13.5k,10.9k
160,L&T Finance,3.9,10.7k,2.6k
161,Whitehat jr,3.6,9.4k,10.7k
162,Intas Pharmaceuticals,4.2,13.7k,72
163,Thermax Limited,4.2,11.9k,--
164,Varun Beverages,4.0,9.6k,943
165,Ford Motor,4.5,13.9k,19
166,UnitedHealth,4.2,23.6k,2.6k
167,Sodexo,4.1,9.8k,9.4k
168,Hetero Drugs,3.8,13k,277
169,Deutsche Bank,4.1,28.4k,514
170,Subros,4.0,12.1k,1.5k
171,Macleods Pharmaceuticals,3.8,13k,2
172,Abbott Healthcare,4.2,10.8k,2.6k
173,Randstad,3.9,12.8k,13.7k
174,VE Commercial Vehicles,4.0,12.5k,118
175,Automatic Data Processing (ADP),4.2,19.2k,52
176,American Express,4.3,19.1k,1.1k
177,Havells,4.1,11.8k,8
178,CARS24,3.6,11.5k,2.5k
179,Pidilite Industries,4.3,8.9k,11.9k
180,Wipro Consumer Care & Lighting,3.8,2.9k,2.3k
181,Alkem Laboratories,4.0,8.7k,2.9k
182,Indian Air Force,4.6,5.5k,36
183,Hindustan Coca Cola Beverages,4.3,7.4k,34
184,Team Lease,3.9,14k,1.1k
185,Alembic Pharmaceuticals,4.0,12.9k,--
186,Bharat Electronics,4.1,11.2k,2.3k
187,Atos,3.9,25.6k,8.7k
188,Wipro Infotech,4.1,19.5k,103
189,Axis Direct,4.0,8k,17
190,Cgi Group,4.2,30.1k,1k
191,Persistent Systems,3.9,26.5k,--
192,Hindalco Industries,4.2,9.2k,2.3k
193,Vishal Mega Mart,3.8,6.9k,5.5k
194,DCB Bank,3.9,8.3k,27
195,Publicis Sapient,3.6,25.5k,--
196,CMS IT Services,3.2,11.6k,1.3k
197,Glenmark Pharmaceuticals,4.0,10.8k,--
198,Ipca Laboratories,4.0,10.5k,2.3k
199,ABB Group,4.1,14.9k,7.4k
200,NatWest Group,4.1,18.8k,2.2k
201,Honda Motorcycle & Scooter,4.2,11.5k,18.8k
202,R1 RCM,3.9,13.9k,97
203,DTDC Express,3.8,8.3k,3
204,Access Healthcare,4.0,16.1k,1.1k
205,Standard Chartered Bank,3.9,24.9k,7
206,MRF Tyres,3.7,10.7k,2.2k
207,Maersk,4.3,15.2k,11.5k
208,Aarti Industries,4.1,11.9k,91
209,Reliance Nippon Life Insurance,3.9,8.3k,--
210,Indiabulls Home Loans,3.8,8.3k,1k
211,Bank of America,4.4,21.9k,4
212,Biocon,3.9,14.1k,2.2k
213,GATI-KWE,4.1,6.6k,13.9k
214,Tata AIA Life Insurance,4.1,10.6k,159
215,24/7 Customer,3.6,14.9k,43
216,ITC Infotech India,3.5,25.1k,954
217,Shoppers Stop,4.2,8k,13
218,Conduent,3.6,19k,2.2k
219,Paras Hospital,4.7,2.6k,8.3k
220,Jindal Steel and Power,3.9,12.1k,2.1k
221,Berger Paints,3.7,7.9k,12.1k
222,Ceat Tyres,4.0,11.1k,167
223,Suzlon Group,4.0,8.8k,15
224,HDFC Ergo General Insurance,4.0,9.6k,827
225,Aakash Educational Services,3.6,10.2k,3
226,RSPL Group,4.1,8.2k,2.1k
227,Escorts Kubota Limited,4.1,9.7k,7.9k
228,Indian Oil Corporation,4.4,7.6k,169
229,Dabur,3.9,7.3k,31
230,PolicyBazaar,3.5,11.8k,694
231,RBL Bank,3.7,14.7k,5
232,Utkarsh Small Finance Bank,3.8,8.1k,2.1k
233,PNB MetLife,3.5,7.1k,11.1k
234,GeBBS Healthcare Solutions,3.8,9.7k,101
235,Kotak Mahindara Life Insurance,3.8,10.9k,2
236,ACC,4.0,9.6k,992
237,Cogent E Services,3.4,8.2k,--
238,JK Cement,4.1,7.4k,2.1k
239,Carelon Global Solutions,4.1,17.6k,8.8k
240,Simplex Infrastructures,3.3,8.1k,2k
241,Torrent Pharmaceuticals,3.9,10k,8.1k
242,Bajaj Electricals,4.1,8.2k,42
243,Marpu Foundation,4.9,4,13
244,Reliance Digital,4.2,7k,861
245,IndiGo,3.6,11.3k,--
246,ArcelorMittal Nippon Steel,4.0,8.3k,2k
247,Wipro Enterprises Ltd,3.8,5.6k,10k
248,Titan Company,4.4,8.3k,64
249,KocharTech,4.2,3.8k,25
250,Dilip Buildcon,4.0,8.3k,952
251,Huawei Technologies,4.0,12.6k,3
252,Jubilant Foods Works,3.9,7.2k,2k
253,KPIT Technologies,3.6,18.6k,8.2k
254,Domino's Pizza,4.0,4.8k,86
255,Reliance SMSL,4.0,5.7k,62
256,UPL,4.1,9.7k,832
257,Apollo Tyres,4.1,8.9k,9
258,Lava International,4.1,5.8k,2k
259,Tata AIG,4.2,9.5k,4
260,Capita,3.9,14k,1.9k
261,Birlasoft,3.7,24.2k,14k
262,Synechron,4.0,22k,86
263,Flex,4.1,18.5k,37
264,McDonald's,4.3,5k,1k
265,Statestreet HCL Services,3.2,15.9k,--
266,Patanjali Ayurved,4.0,8.2k,1.9k
267,S&P Global,4.2,14.3k,24.2k
268,Taj Hotels Resorts and Palaces,4.3,6k,151
269,Lenskart,3.2,8.3k,89
270,AFCONS Infrastructure,4.4,7.2k,655
271,State Street Syntel,3.8,12.5k,7
272,Tech Mahindra Business Services,3.5,10.8k,1.9k
273,AGS Health,4.1,9.6k,22k
274,Max Healthcare,4.1,8.4k,159
275,Capgemini Engineering,3.7,20k,59
276,Mankind Pharma,4.1,7.7k,700
277,Zensar Technologies,3.8,23.8k,8
278,Square Yards,3.8,7k,1.9k
279,Bajaj Allianz General Insurance,4.1,8.5k,18.5k
280,Landmark Group,4.1,9.2k,1.8k
281,Tractors and Farm Equipment,4.1,8.6k,9.2k
282,Fortis Healthcare,4.0,7.3k,69
283,Blue Dart Express,4.1,6.2k,97
284,Nestle,4.1,8.8k,861
285,Birla Sun Life Insurance,4.2,6.7k,--
286,Walmart,4.0,12.7k,1.8k
287,Fiserv,3.7,17.6k,8.6k
288,IGT Solutions,3.4,9.9k,65
289,Ola Cabs,3.6,12.3k,40
290,Tata Technologies,3.6,17k,821
291,HDFC Sales,4.0,7.6k,4
